Representing term id	Representing term name	Representing term size	Representing term rank	Represented term number	Overlap term rank	DOMINO term rank	multiXrank term rank
GO:0072001	renal system development	315	1	3	1	2	1
REAC:R-HSA-8853659	RET signaling	38	1	1	None	1	None
REAC:R-HSA-195721	Signaling by WNT	328	3	1	None	None	3
WP:WP5053	Development of ureteric collection system	47	4	1	4	5	None
REAC:R-HSA-157118	Signaling by NOTCH	233	4	1	8	None	4
WP:WP4823	Genes controlling nephrogenesis	43	5	1	5	None	None
PMC5748921-PMC6115658	CAKUT causal genes	42	6	1	6	None	None
REAC:R-HSA-5358351	Signaling by Hedgehog	149	6	1	None	None	6
WP:WP5052	Nephrogenesis	17	7	1	7	None	None
WP:WP4830	GDNF/RET signalling axis	23	9	1	9	None	None
