PathwayIDs;PathwayNames;PathwayBackgroundNames;PathwaySizes;TargetSizes;IntersectionSize;BackgroundSizes;pValue;pAdjusted;Intersection
GO:0072001;renal system development;hsapiens.GO-BP.name.gmt;315;93;7;18089;0.0011977256283141836;0.005190144389361462;DCN FGF1 FGF2 FGF8 FGFR1 FGFR2 PTK7
GO:0001822;kidney development;hsapiens.GO-BP.name.gmt;306;93;7;18089;0.0010128259691462315;0.005190144389361462;DCN FGF1 FGF2 FGF8 FGFR1 FGFR2 PTK7
REAC:R-HSA-8853659;RET signaling;hsapiens.REAC.name.gmt;38;57;3;10531;0.00110885560609775;0.005190144389361462;DOK1 FRS2 IRS2
GO:0060993;kidney morphogenesis;hsapiens.GO-BP.name.gmt;96;93;3;18089;0.013322192763932235;0.04329712648277976;FGF1 FGF2 FGF8
REAC:R-HSA-157118;Signaling by NOTCH;hsapiens.REAC.name.gmt;233;57;4;10531;0.03703544801749284;0.09629216484548138;EGF EGFR FLT4 NUMB
WP:WP4823;Genes controlling nephrogenesis;hsapiens.WP.name.gmt;43;61;2;7411;0.048505713243451445;0.10509571202747812;FGF8 FGFR2
WP:WP5053;Development of ureteric collection system;hsapiens.WP.name.gmt;47;61;2;7411;0.056874171211568125;0.10562346082148366;ANOS1 FGFR2
WP:WP5052;Nephrogenesis;hsapiens.WP.name.gmt;17;61;1;7411;0.13121423506265595;0.21322313197681592;FGF8
PMC5748921-PMC6115658;CAKUT causal genes;hsapiens.GO-BP.name.gmt;42;93;1;18089;0.1948572439217514;0.28146046344252984;ANOS1
REAC:R-HSA-195721;Signaling by WNT;hsapiens.REAC.name.gmt;328;57;3;10531;0.261611524712059;0.3400949821256767;PPP3CA PPP3CB RYK
REAC:R-HSA-5358351;Signaling by Hedgehog;hsapiens.REAC.name.gmt;149;57;1;10531;0.5571033005789428;0.6583948097751142;NUMB
REAC:R-HSA-2022377;Metabolism of Angiotensinogen to Angiotensins;hsapiens.REAC.name.gmt;18;57;0;10531;1.0;1.0;
WP:WP4830;GDNF/RET signalling axis;hsapiens.WP.name.gmt;23;61;0;7411;1.0;1.0;
