WPID;WPTitle;Source;WPSize;TargetSize;IntersectionSize;UniversSize;pValue;pAdjusted;Intersection
GO:0072001;renal system development;hsapiens.GO-BP.name.gmt;315;53;7;18089;3.523081511451254e-05;0.000458000596488663;COL4A1 LAMA5 NID1 PDGFA PDGFB PDGFRA PKD1
GO:0001822;kidney development;hsapiens.GO-BP.name.gmt;306;53;6;18089;0.00026252148013064243;0.0017063896208491757;LAMA5 NID1 PDGFA PDGFB PDGFRA PKD1
GO:0060993;kidney morphogenesis;hsapiens.GO-BP.name.gmt;96;53;2;18089;0.03223547869547582;0.13968707434706187;LAMA5 PKD1
WP:WP4823;Genes controlling nephrogenesis;hsapiens.WP.name.gmt;43;41;1;7411;0.21276663611073193;0.6914915673598787;PDGFB
PMC5748921-PMC6115658;CAKUT causal genes;hsapiens.GO-BP.name.gmt;42;53;0;18089;1.0;1.0;
REAC:R-HSA-2022377;Metabolism of Angiotensinogen to Angiotensins;hsapiens.REAC.name.gmt;18;48;0;10531;1.0;1.0;
REAC:R-HSA-8853659;RET signaling;hsapiens.REAC.name.gmt;38;48;0;10531;1.0;1.0;
REAC:R-HSA-195721;Signaling by WNT;hsapiens.REAC.name.gmt;328;48;1;10531;0.7817787098945;1.0;CAV1
REAC:R-HSA-157118;Signaling by NOTCH;hsapiens.REAC.name.gmt;233;48;0;10531;1.0;1.0;
REAC:R-HSA-5358351;Signaling by Hedgehog;hsapiens.REAC.name.gmt;149;48;0;10531;1.0;1.0;
WP:WP5053;Development of ureteric collection system;hsapiens.WP.name.gmt;47;41;0;7411;1.0;1.0;
WP:WP5052;Nephrogenesis;hsapiens.WP.name.gmt;17;41;0;7411;1.0;1.0;
WP:WP4830;GDNF/RET signalling axis;hsapiens.WP.name.gmt;23;41;0;7411;1.0;1.0;
