WPID;WPTitle;Source;WPSize;TargetSize;IntersectionSize;UniversSize;pValue;pAdjusted;Intersection
GO:0072001;renal system development;hsapiens.GO-BP.name.gmt;315;30;2;18089;0.09562972864179978;0.4242424763617383;EGR1 SOX9
GO:0001822;kidney development;hsapiens.GO-BP.name.gmt;306;30;2;18089;0.09105245002049986;0.4242424763617383;EGR1 SOX9
REAC:R-HSA-157118;Signaling by NOTCH;hsapiens.REAC.name.gmt;233;24;2;10531;0.09790210992963191;0.4242424763617383;JUN RUNX1
GO:0060993;kidney morphogenesis;hsapiens.GO-BP.name.gmt;96;30;1;18089;0.14765610856948388;0.4798823528508226;SOX9
PMC5748921-PMC6115658;CAKUT causal genes;hsapiens.GO-BP.name.gmt;42;30;0;18089;1.0;1.0;
REAC:R-HSA-2022377;Metabolism of Angiotensinogen to Angiotensins;hsapiens.REAC.name.gmt;18;24;0;10531;1.0;1.0;
REAC:R-HSA-8853659;RET signaling;hsapiens.REAC.name.gmt;38;24;0;10531;1.0;1.0;
REAC:R-HSA-195721;Signaling by WNT;hsapiens.REAC.name.gmt;328;24;1;10531;0.5324456380541692;1.0;SOX9
REAC:R-HSA-5358351;Signaling by Hedgehog;hsapiens.REAC.name.gmt;149;24;0;10531;1.0;1.0;
WP:WP5053;Development of ureteric collection system;hsapiens.WP.name.gmt;47;21;0;7411;1.0;1.0;
WP:WP4823;Genes controlling nephrogenesis;hsapiens.WP.name.gmt;43;21;0;7411;1.0;1.0;
WP:WP5052;Nephrogenesis;hsapiens.WP.name.gmt;17;21;0;7411;1.0;1.0;
WP:WP4830;GDNF/RET signalling axis;hsapiens.WP.name.gmt;23;21;0;7411;1.0;1.0;
