WPID;WPTitle;Source;WPSize;TargetSize;IntersectionSize;UniversSize;pValue;pAdjusted;Intersection
GO:0060993;kidney morphogenesis;hsapiens.GO-BP.name.gmt;96;21;4;18089;4.159854271638569e-06;5.4078105531301396e-05;BMP2 BMP4 BMP7 NOG
GO:0072001;renal system development;hsapiens.GO-BP.name.gmt;315;21;5;18089;2.5102215752704427e-05;0.00010877626826171917;BMP2 BMP4 BMP7 NOG TGFBR1
GO:0001822;kidney development;hsapiens.GO-BP.name.gmt;306;21;5;18089;2.1840494851465558e-05;0.00010877626826171917;BMP2 BMP4 BMP7 NOG TGFBR1
PMC5748921-PMC6115658;CAKUT causal genes;hsapiens.GO-BP.name.gmt;42;21;1;18089;0.047669028758790144;0.11163507157651252;BMP4
WP:WP5052;Nephrogenesis;hsapiens.WP.name.gmt;17;17;1;7411;0.03832924428587057;0.11163507157651252;BMP7
WP:WP4830;GDNF/RET signalling axis;hsapiens.WP.name.gmt;23;17;1;7411;0.05152387918915963;0.11163507157651252;BMP4
WP:WP5053;Development of ureteric collection system;hsapiens.WP.name.gmt;47;17;1;7411;0.10261772033403027;0.19057576633462767;BMP4
REAC:R-HSA-2022377;Metabolism of Angiotensinogen to Angiotensins;hsapiens.REAC.name.gmt;18;16;0;10531;1.0;1.0;
REAC:R-HSA-8853659;RET signaling;hsapiens.REAC.name.gmt;38;16;0;10531;1.0;1.0;
REAC:R-HSA-195721;Signaling by WNT;hsapiens.REAC.name.gmt;328;16;0;10531;1.0;1.0;
REAC:R-HSA-157118;Signaling by NOTCH;hsapiens.REAC.name.gmt;233;16;0;10531;1.0;1.0;
REAC:R-HSA-5358351;Signaling by Hedgehog;hsapiens.REAC.name.gmt;149;16;0;10531;1.0;1.0;
WP:WP4823;Genes controlling nephrogenesis;hsapiens.WP.name.gmt;43;17;0;7411;1.0;1.0;
