PathwayIDs;PathwayNames;PathwayBackgroundNames;PathwaySizes;TargetSizes;IntersectionSize;BackgroundSizes;pValue;pAdjusted;Intersection
WP4950;16p11.2 distal deletion syndrome;WP_allPathways_request_2022_08_24.gmt;33;63;4;12399;2.217298922054136e-05;0.0022838178897157603;IL4 INSR JAK2 SH2B1
WP4830;GDNF/RET signaling axis;WP_allPathways_request_2022_08_24.gmt;23;63;3;12399;0.000205916406021026;0.010604694910082839;GDNF GFRA1 RET
WP5087;Malignant pleural mesothelioma;WP_allPathways_request_2022_08_24.gmt;436;63;9;12399;0.00033180608399427234;0.01139200888380335;BDNF IGF1R IL10 INSR JAK1 NTF3 NTRK2 SHC1 STAT1
WP4298;Acute viral myocarditis;WP_allPathways_request_2022_08_24.gmt;85;63;4;12399;0.0009006665540749561;0.02319216376743012;IFNG IL10 JAK1 STAT1
WP4549;Fragile X syndrome;WP_allPathways_request_2022_08_24.gmt;112;63;4;12399;0.0024947114833021207;0.04388920302810723;BDNF NTRK2 PTPN11 SHC1
WP3853;ERK pathway in Huntington's disease;WP_allPathways_request_2022_08_24.gmt;15;63;2;12399;0.002556652603579062;0.04388920302810723;BDNF NTRK2
WP5053;Development of ureteric collection system;WP_allPathways_request_2022_08_24.gmt;60;63;3;12399;0.0034811423289606794;0.051222522840421426;GDNF GFRA1 RET
WP5074;Kallmann syndrome;WP_allPathways_request_2022_08_24.gmt;24;63;2;12399;0.006525684481309846;0.08401818769686427;FRS2 PTPN11
WP4540;Hippo signaling regulation pathways;WP_allPathways_request_2022_08_24.gmt;98;63;3;12399;0.013501970753735224;0.15452255418163643;IGF1R INSR NTRK2
WP4541;Hippo-Merlin signaling dysregulation;WP_allPathways_request_2022_08_24.gmt;120;63;3;12399;0.023051431524954744;0.21584522246093987;IGF1R INSR NTRK2
WP4823;Genes controlling nephrogenesis;WP_allPathways_request_2022_08_24.gmt;44;63;2;12399;0.02095993136567424;0.21584522246093987;GDNF RET
WP5222;2q13 copy number variation syndrome;WP_allPathways_request_2022_08_24.gmt;68;63;2;12399;0.046716190169343176;0.40098063228686226;SOCS3 STAT1
WP3584;MECP2 and associated Rett syndrome;WP_allPathways_request_2022_08_24.gmt;73;63;2;12399;0.0530372288896288;0.409400261558342;BDNF IGF1R
WP4906;3q29 copy number variation syndrome;WP_allPathways_request_2022_08_24.gmt;75;63;2;12399;0.055646637493366874;0.409400261558342;STAT5A STAT5B
WP4947;Nitric oxide metabolism in cystic fibrosis;WP_allPathways_request_2022_08_24.gmt;13;63;1;12399;0.06410711191195985;0.44020216846212434;PRMT3
WP5101;Congenital generalized lipodystrophy;WP_allPathways_request_2022_08_24.gmt;18;63;1;12399;0.0876715500157044;0.5643856032260971;IRS1
WP5102;Familial partial lipodystrophy;WP_allPathways_request_2022_08_24.gmt;30;63;1;12399;0.14187000202401;0.8595653063807664;STAT5B
WP5052;Nephrogenesis;WP_allPathways_request_2022_08_24.gmt;18;63;0;12399;1.0;1.0;
WP5030;Ethylmalonic encephalopathy;WP_allPathways_request_2022_08_24.gmt;3;63;0;12399;1.0;1.0;
WP5031;Biotin metabolism, including IMDs;WP_allPathways_request_2022_08_24.gmt;9;63;0;12399;1.0;1.0;
WP4971;Phosphoinositides metabolism;WP_allPathways_request_2022_08_24.gmt;49;63;0;12399;1.0;1.0;
WP4949;16p11.2 proximal deletion syndrome;WP_allPathways_request_2022_08_24.gmt;81;63;0;12399;1.0;1.0;
WP4942;15q13.3 copy number variation syndrome;WP_allPathways_request_2022_08_24.gmt;32;63;0;12399;1.0;1.0;
WP4940;15q11.2 copy number variation syndrome;WP_allPathways_request_2022_08_24.gmt;10;63;0;12399;1.0;1.0;
WP4932;7q11.23 copy number variation syndrome;WP_allPathways_request_2022_08_24.gmt;113;63;0;12399;1.0;1.0;
WP4905;1q21.1 copy number variation syndrome;WP_allPathways_request_2022_08_24.gmt;36;63;0;12399;1.0;1.0;
WP4879;Overlap between signal transduction pathways contributing to LMNA laminopathies;WP_allPathways_request_2022_08_24.gmt;57;63;0;12399;1.0;1.0;
WP5037;Riboflavin and CoQ disorders;WP_allPathways_request_2022_08_24.gmt;14;63;0;12399;1.0;1.0;
WP5103;Progeria-associated lipodystrophy;WP_allPathways_request_2022_08_24.gmt;22;63;0;12399;1.0;1.0;
WP5109;Familial hyperlipidemia type 2;WP_allPathways_request_2022_08_24.gmt;16;63;0;12399;1.0;1.0;
WP5108;Familial  hyperlipidemia type 1;WP_allPathways_request_2022_08_24.gmt;18;63;0;12399;1.0;1.0;
WP5223;2q21.1 copy number variation syndrome;WP_allPathways_request_2022_08_24.gmt;42;63;0;12399;1.0;1.0;
WP5221;2q11.2 copy number variation syndrome;WP_allPathways_request_2022_08_24.gmt;65;63;0;12399;1.0;1.0;
WP5202;Alstrom syndrome;WP_allPathways_request_2022_08_24.gmt;33;63;0;12399;1.0;1.0;
WP5200;Dravet syndrome;WP_allPathways_request_2022_08_24.gmt;24;63;0;12399;1.0;1.0;
WP5195;Disorders in ketolysis;WP_allPathways_request_2022_08_24.gmt;5;63;0;12399;1.0;1.0;
WP5193;Cholesterol synthesis disorders;WP_allPathways_request_2022_08_24.gmt;18;63;0;12399;1.0;1.0;
WP5190;Creatine pathway;WP_allPathways_request_2022_08_24.gmt;5;63;0;12399;1.0;1.0;
WP5189;Copper metabolism;WP_allPathways_request_2022_08_24.gmt;4;63;0;12399;1.0;1.0;
WP5178;Disorders of fructose metabolism;WP_allPathways_request_2022_08_24.gmt;14;63;0;12399;1.0;1.0;
WP5176;Disorders of bile acid synthesis and biliary transport;WP_allPathways_request_2022_08_24.gmt;20;63;0;12399;1.0;1.0;
WP5175;Disorders in ketone body synthesis;WP_allPathways_request_2022_08_24.gmt;5;63;0;12399;1.0;1.0;
WP5173;Disorders of galactose metabolism ;WP_allPathways_request_2022_08_24.gmt;13;63;0;12399;1.0;1.0;
