WPID;WPTitle;Source;WPSize;TargetSize;IntersectionSize;UniversSize;pValue;pAdjusted;Intersection
WP2447;Amyotrophic lateral sclerosis (ALS);WP_allPathways_request_2022_08_01.gmt;38;25;4;12378;9.119905728029545e-07;9.302303842590136e-05;BAX BCL2 BCL2L1 BID
WP4298;Acute viral myocarditis;WP_allPathways_request_2022_08_01.gmt;85;25;4;12378;2.3468067481142703e-05;0.001196871441538278;BAX BCL2 BCL2L1 BID
WP5087;Malignant pleural mesothelioma;WP_allPathways_request_2022_08_01.gmt;436;25;6;12378;0.000184734518213707;0.006280973619266038;BAK1 BAX BBC3 BCL2 EFNA2 MCL1
WP2059;Alzheimer's disease and miRNA effects;WP_allPathways_request_2022_08_01.gmt;275;25;4;12378;0.002086592974130247;0.04256649667225704;BID CAPN2 ITPR1 VDAC1
WP5124;Alzheimer's disease;WP_allPathways_request_2022_08_01.gmt;262;25;4;12378;0.001747923380287974;0.04256649667225704;BID CAPN2 ITPR1 VDAC1
WP5101;Congenital generalized lipodystrophy (CGL);WP_allPathways_request_2022_08_01.gmt;18;25;0;12378;1.0;1.0;
WP5074;Kallmann syndrome;WP_allPathways_request_2022_08_01.gmt;23;25;0;12378;1.0;1.0;
WP5053;Development of ureteric collection system;WP_allPathways_request_2022_08_01.gmt;60;25;0;12378;1.0;1.0;
WP5052;Nephrogenesis;WP_allPathways_request_2022_08_01.gmt;18;25;0;12378;1.0;1.0;
WP5037;Riboflavin and CoQ disorders;WP_allPathways_request_2022_08_01.gmt;14;25;0;12378;1.0;1.0;
WP5031;Biotin metabolism, including IMDs;WP_allPathways_request_2022_08_01.gmt;9;25;0;12378;1.0;1.0;
WP5030;Ethylmalonic encephalopathy;WP_allPathways_request_2022_08_01.gmt;3;25;0;12378;1.0;1.0;
WP4971;Phosphoinositides metabolism;WP_allPathways_request_2022_08_01.gmt;49;25;0;12378;1.0;1.0;
WP4950;16p11.2 distal deletion syndrome;WP_allPathways_request_2022_08_01.gmt;33;25;0;12378;1.0;1.0;
WP4949;16p11.2 proximal deletion syndrome;WP_allPathways_request_2022_08_01.gmt;81;25;0;12378;1.0;1.0;
WP4947;Nitric oxide metabolism in cystic fibrosis;WP_allPathways_request_2022_08_01.gmt;13;25;0;12378;1.0;1.0;
WP4942;15q13.3 copy number variation syndrome;WP_allPathways_request_2022_08_01.gmt;32;25;0;12378;1.0;1.0;
WP4940;15q11.2 copy number variation syndrome;WP_allPathways_request_2022_08_01.gmt;10;25;0;12378;1.0;1.0;
WP4932;7q11.23 copy number variation syndrome;WP_allPathways_request_2022_08_01.gmt;113;25;0;12378;1.0;1.0;
WP4906;3q29 copy number variation syndrome;WP_allPathways_request_2022_08_01.gmt;75;25;1;12378;0.1410865765018446;1.0;DYNLL1
WP4905;1q21.1 copy number variation syndrome;WP_allPathways_request_2022_08_01.gmt;36;25;0;12378;1.0;1.0;
WP4879;Overlap between signal transduction pathways contributing to LMNA laminopathies;WP_allPathways_request_2022_08_01.gmt;57;25;0;12378;1.0;1.0;
WP4871;Kisspeptin/kisspeptin receptor system in the ovary;WP_allPathways_request_2022_08_01.gmt;39;25;0;12378;1.0;1.0;
WP4844;Influence of laminopathies on Wnt signaling;WP_allPathways_request_2022_08_01.gmt;37;25;0;12378;1.0;1.0;
WP5102;Familial partial lipodystrophy (FPLD);WP_allPathways_request_2022_08_01.gmt;30;25;0;12378;1.0;1.0;
WP5103;Progeria-associated lipodystrophy;WP_allPathways_request_2022_08_01.gmt;22;25;0;12378;1.0;1.0;
WP5108;Familial  hyperlipidemia type 1;WP_allPathways_request_2022_08_01.gmt;18;25;0;12378;1.0;1.0;
WP4842;Mammalian disorder of sexual development;WP_allPathways_request_2022_08_01.gmt;25;25;0;12378;1.0;1.0;
WP5222;2q13 copy number variation syndrome;WP_allPathways_request_2022_08_01.gmt;68;25;1;12378;0.12877336692159447;1.0;BCL2L11
WP5221;2q11.2 copy number variation syndrome;WP_allPathways_request_2022_08_01.gmt;65;25;0;12378;1.0;1.0;
WP5202;Alstrom syndrome;WP_allPathways_request_2022_08_01.gmt;33;25;0;12378;1.0;1.0;
WP5200;Dravet syndrome;WP_allPathways_request_2022_08_01.gmt;18;25;0;12378;1.0;1.0;
WP5195;Disorders in ketolysis;WP_allPathways_request_2022_08_01.gmt;5;25;0;12378;1.0;1.0;
WP5193;Cholesterol synthesis disorders;WP_allPathways_request_2022_08_01.gmt;18;25;0;12378;1.0;1.0;
WP5190;Creatine pathway;WP_allPathways_request_2022_08_01.gmt;5;25;0;12378;1.0;1.0;
WP5189;Copper metabolism;WP_allPathways_request_2022_08_01.gmt;4;25;0;12378;1.0;1.0;
WP5178;Disorders of fructose metabolism;WP_allPathways_request_2022_08_01.gmt;14;25;0;12378;1.0;1.0;
WP5176;Disorders of bile acid synthesis and biliary transport;WP_allPathways_request_2022_08_01.gmt;20;25;0;12378;1.0;1.0;
WP5175;Disorders in ketone body synthesis;WP_allPathways_request_2022_08_01.gmt;5;25;0;12378;1.0;1.0;
WP5173;Disorders of galactose metabolism ;WP_allPathways_request_2022_08_01.gmt;13;25;0;12378;1.0;1.0;
WP5171;Leukotriene metabolic pathway;WP_allPathways_request_2022_08_01.gmt;13;25;0;12378;1.0;1.0;
WP5169;Hemesynthesis defects and porphyrias;WP_allPathways_request_2022_08_01.gmt;9;25;0;12378;1.0;1.0;
WP5166;Glyoxylate metabolism;WP_allPathways_request_2022_08_01.gmt;11;25;0;12378;1.0;1.0;
WP5120;Inclusion body myositis;WP_allPathways_request_2022_08_01.gmt;11;25;0;12378;1.0;1.0;
WP5114;Nucleotide excision repair in xeroderma pigmentosum ;WP_allPathways_request_2022_08_01.gmt;74;25;0;12378;1.0;1.0;
WP5112;Familial hyperlipidemia type 5;WP_allPathways_request_2022_08_01.gmt;15;25;0;12378;1.0;1.0;
