WPID;WPTitle;Source;WPSize;TargetSize;IntersectionSize;UniversSize;pValue;pAdjusted;Intersection
WP4545;Oxysterols derived from cholesterol;WP_allPathways_request_2022_08_01.gmt;46;35;2;12378;0.0074360522204517466;0.7584773264860781;ESR2 NR1H2
WP5101;Congenital generalized lipodystrophy (CGL);WP_allPathways_request_2022_08_01.gmt;18;35;0;12378;1.0;1.0;
WP5087;Malignant pleural mesothelioma;WP_allPathways_request_2022_08_01.gmt;436;35;0;12378;1.0;1.0;
WP5074;Kallmann syndrome;WP_allPathways_request_2022_08_01.gmt;23;35;0;12378;1.0;1.0;
WP5053;Development of ureteric collection system;WP_allPathways_request_2022_08_01.gmt;60;35;0;12378;1.0;1.0;
WP5052;Nephrogenesis;WP_allPathways_request_2022_08_01.gmt;18;35;0;12378;1.0;1.0;
WP5037;Riboflavin and CoQ disorders;WP_allPathways_request_2022_08_01.gmt;14;35;0;12378;1.0;1.0;
WP5031;Biotin metabolism, including IMDs;WP_allPathways_request_2022_08_01.gmt;9;35;0;12378;1.0;1.0;
WP5030;Ethylmalonic encephalopathy;WP_allPathways_request_2022_08_01.gmt;3;35;0;12378;1.0;1.0;
WP4971;Phosphoinositides metabolism;WP_allPathways_request_2022_08_01.gmt;49;35;0;12378;1.0;1.0;
WP4950;16p11.2 distal deletion syndrome;WP_allPathways_request_2022_08_01.gmt;33;35;0;12378;1.0;1.0;
WP5102;Familial partial lipodystrophy (FPLD);WP_allPathways_request_2022_08_01.gmt;30;35;1;12378;0.08153169981930158;1.0;SREBF1
WP2059;Alzheimer's disease and miRNA effects;WP_allPathways_request_2022_08_01.gmt;275;35;1;12378;0.5449970750122353;1.0;NRBF2
WP4947;Nitric oxide metabolism in cystic fibrosis;WP_allPathways_request_2022_08_01.gmt;13;35;0;12378;1.0;1.0;
WP4942;15q13.3 copy number variation syndrome;WP_allPathways_request_2022_08_01.gmt;32;35;0;12378;1.0;1.0;
WP4940;15q11.2 copy number variation syndrome;WP_allPathways_request_2022_08_01.gmt;10;35;0;12378;1.0;1.0;
WP4932;7q11.23 copy number variation syndrome;WP_allPathways_request_2022_08_01.gmt;113;35;0;12378;1.0;1.0;
WP4906;3q29 copy number variation syndrome;WP_allPathways_request_2022_08_01.gmt;75;35;0;12378;1.0;1.0;
WP4905;1q21.1 copy number variation syndrome;WP_allPathways_request_2022_08_01.gmt;36;35;0;12378;1.0;1.0;
WP4879;Overlap between signal transduction pathways contributing to LMNA laminopathies;WP_allPathways_request_2022_08_01.gmt;57;35;1;12378;0.1493615412199733;1.0;SREBF1
WP4871;Kisspeptin/kisspeptin receptor system in the ovary;WP_allPathways_request_2022_08_01.gmt;39;35;0;12378;1.0;1.0;
WP4844;Influence of laminopathies on Wnt signaling;WP_allPathways_request_2022_08_01.gmt;37;35;1;12378;0.0996053990532459;1.0;SREBF1
WP4842;Mammalian disorder of sexual development;WP_allPathways_request_2022_08_01.gmt;25;35;0;12378;1.0;1.0;
WP4949;16p11.2 proximal deletion syndrome;WP_allPathways_request_2022_08_01.gmt;81;35;0;12378;1.0;1.0;
WP4830;GDNF/RET signaling axis;WP_allPathways_request_2022_08_01.gmt;23;35;0;12378;1.0;1.0;
WP5103;Progeria-associated lipodystrophy;WP_allPathways_request_2022_08_01.gmt;22;35;0;12378;1.0;1.0;
WP5108;Familial  hyperlipidemia type 1;WP_allPathways_request_2022_08_01.gmt;18;35;0;12378;1.0;1.0;
WP5222;2q13 copy number variation syndrome;WP_allPathways_request_2022_08_01.gmt;68;35;0;12378;1.0;1.0;
WP5221;2q11.2 copy number variation syndrome;WP_allPathways_request_2022_08_01.gmt;65;35;0;12378;1.0;1.0;
WP5202;Alstrom syndrome;WP_allPathways_request_2022_08_01.gmt;33;35;0;12378;1.0;1.0;
WP5200;Dravet syndrome;WP_allPathways_request_2022_08_01.gmt;18;35;0;12378;1.0;1.0;
WP5195;Disorders in ketolysis;WP_allPathways_request_2022_08_01.gmt;5;35;0;12378;1.0;1.0;
WP5193;Cholesterol synthesis disorders;WP_allPathways_request_2022_08_01.gmt;18;35;0;12378;1.0;1.0;
WP5190;Creatine pathway;WP_allPathways_request_2022_08_01.gmt;5;35;0;12378;1.0;1.0;
WP5189;Copper metabolism;WP_allPathways_request_2022_08_01.gmt;4;35;0;12378;1.0;1.0;
WP5178;Disorders of fructose metabolism;WP_allPathways_request_2022_08_01.gmt;14;35;0;12378;1.0;1.0;
WP5176;Disorders of bile acid synthesis and biliary transport;WP_allPathways_request_2022_08_01.gmt;20;35;0;12378;1.0;1.0;
WP5104;Acquired partial lipodystrophy / Barraquer-Simons syndrome;WP_allPathways_request_2022_08_01.gmt;10;35;0;12378;1.0;1.0;
WP5175;Disorders in ketone body synthesis;WP_allPathways_request_2022_08_01.gmt;5;35;0;12378;1.0;1.0;
WP5171;Leukotriene metabolic pathway;WP_allPathways_request_2022_08_01.gmt;13;35;0;12378;1.0;1.0;
WP5169;Hemesynthesis defects and porphyrias;WP_allPathways_request_2022_08_01.gmt;9;35;0;12378;1.0;1.0;
WP5166;Glyoxylate metabolism;WP_allPathways_request_2022_08_01.gmt;11;35;0;12378;1.0;1.0;
WP5124;Alzheimer's disease;WP_allPathways_request_2022_08_01.gmt;262;35;1;12378;0.5275506689147839;1.0;NRBF2
WP5120;Inclusion body myositis;WP_allPathways_request_2022_08_01.gmt;11;35;0;12378;1.0;1.0;
WP5114;Nucleotide excision repair in xeroderma pigmentosum ;WP_allPathways_request_2022_08_01.gmt;74;35;0;12378;1.0;1.0;
WP5112;Familial hyperlipidemia type 5;WP_allPathways_request_2022_08_01.gmt;15;35;0;12378;1.0;1.0;
WP5111;Familial hyperlipidemia type 4;WP_allPathways_request_2022_08_01.gmt;22;35;0;12378;1.0;1.0;
WP5110;Familial hyperlipidemia type 3;WP_allPathways_request_2022_08_01.gmt;13;35;0;12378;1.0;1.0;
WP5109;Familial hyperlipidemia type 2;WP_allPathways_request_2022_08_01.gmt;16;35;0;12378;1.0;1.0;
