WPID;WPTitle;Source;WPSize;TargetSize;IntersectionSize;UniversSize;pValue;pAdjusted;Intersection
WP:WP5053;Development of ureteric collection system;hsapiens.WP.name.gmt;47;5;1;7411;0.031318309230991374;0.20356901000144392;HOXD11
WP:WP4823;Genes controlling nephrogenesis;hsapiens.WP.name.gmt;43;5;1;7411;0.02868387585086337;0.20356901000144392;HOXD11
GO:0060993;kidney morphogenesis;hsapiens.GO-BP.name.gmt;96;10;1;18089;0.05183385253573001;0.22461336098816337;HOXD11
GO:0072001;renal system development;hsapiens.GO-BP.name.gmt;315;10;1;18089;0.16114476987500748;0.3211999867431392;HOXD11
GO:0001822;kidney development;hsapiens.GO-BP.name.gmt;306;10;1;18089;0.15688639024223436;0.3211999867431392;HOXD11
REAC:R-HSA-195721;Signaling by WNT;hsapiens.REAC.name.gmt;328;6;1;10531;0.1729538390155365;0.3211999867431392;CREBBP
REAC:R-HSA-157118;Signaling by NOTCH;hsapiens.REAC.name.gmt;233;6;1;10531;0.1256493298410306;0.3211999867431392;CREBBP
PMC5748921-PMC6115658;CAKUT causal genes;hsapiens.GO-BP.name.gmt;42;10;0;18089;1.0;1.0;
REAC:R-HSA-2022377;Metabolism of Angiotensinogen to Angiotensins;hsapiens.REAC.name.gmt;18;6;0;10531;1.0;1.0;
REAC:R-HSA-8853659;RET signaling;hsapiens.REAC.name.gmt;38;6;0;10531;1.0;1.0;
REAC:R-HSA-5358351;Signaling by Hedgehog;hsapiens.REAC.name.gmt;149;6;0;10531;1.0;1.0;
WP:WP5052;Nephrogenesis;hsapiens.WP.name.gmt;17;5;0;7411;1.0;1.0;
WP:WP4830;GDNF/RET signalling axis;hsapiens.WP.name.gmt;23;5;0;7411;1.0;1.0;
