WPID;WPTitle;WPSize;TargetSize;IntersectionSize;UniversSize;pValue;pAdjusted;Intersection
WP3998;Prader-Willi and Angelman syndrome;66;77;4;12387;0.0007429309253574396;0.07577895438645883;CCND1 CDC6 CDK4 CDKN2A
WP5087;Malignant pleural mesothelioma;436;77;7;12387;0.018477489411484978;0.8283829475264086;CCND1 CCNE1 CDK2 CDK4 CDKN2A FOXM1 LAMB2
WP3569;Fanconi Anemia Pathway;39;77;2;12387;0.024364204339012017;0.8283829475264086;RPA1 RPA2
WP2371;Parkinson's disease pathway;47;77;2;12387;0.034432258437819885;0.8780225901644071;CCNE1 CCNE2
WP4292;Methionine metabolism leading to sulfur amino acids and related disorders;11;77;1;12387;0.0663179705692965;0.8828724436387597;MTR
WP4673;Male infertility;145;77;3;12387;0.06144108062893022;0.8828724436387597;CCNA1 MTR USP26
WP4271;Vitamin B12 disorders;13;77;1;12387;0.07790050973283175;0.8828724436387597;MTR
WP4259;Disorders of folate metabolism and transport;13;77;1;12387;0.07790050973283175;0.8828724436387597;MTR
WP5114;Nucleotide excision repair in xeroderma pigmentosum ;74;77;2;12387;0.07735751463412102;0.8828724436387597;RPA1 RPA2
WP4504;Cysteine and methionine catabolism;15;77;1;12387;0.08934120800245499;0.9112803216250409;MTR
WP5074;Kallmann syndrome;23;77;0;12387;1.0;1.0;
WP5053;Development of ureteric collection system;60;77;1;12387;0.31273299107093155;1.0;CCND1
WP5052;Nephrogenesis;18;77;0;12387;1.0;1.0;
WP5101;Congenital generalized lipodystrophy (CGL);18;77;0;12387;1.0;1.0;
WP5102;Familial partial lipodystrophy (FPLD);30;77;0;12387;1.0;1.0;
WP5037;Riboflavin and CoQ disorders;14;77;0;12387;1.0;1.0;
WP2059;Alzheimer's disease and miRNA effects;275;77;1;12387;0.8234410110722664;1.0;TUBA1C
WP5030;Ethylmalonic encephalopathy;3;77;0;12387;1.0;1.0;
WP5103;Progeria-associated lipodystrophy;22;77;0;12387;1.0;1.0;
WP4971;Phosphoinositides metabolism;49;77;0;12387;1.0;1.0;
WP4950;16p11.2 distal deletion syndrome;33;77;0;12387;1.0;1.0;
WP4949;16p11.2 proximal deletion syndrome;81;77;0;12387;1.0;1.0;
WP4947;Nitric oxide metabolism in cystic fibrosis;13;77;0;12387;1.0;1.0;
WP4942;15q13.3 copy number variation syndrome;32;77;0;12387;1.0;1.0;
WP4940;15q11.2 copy number variation syndrome;10;77;0;12387;1.0;1.0;
WP4932;7q11.23 copy number variation syndrome;113;77;1;12387;0.5072913613848286;1.0;CDKN1C
WP4906;3q29 copy number variation syndrome;75;77;0;12387;1.0;1.0;
WP4905;1q21.1 copy number variation syndrome;36;77;0;12387;1.0;1.0;
WP5031;Biotin metabolism, including IMDs;9;77;0;12387;1.0;1.0;
WP5104;Acquired partial lipodystrophy / Barraquer-Simons syndrome;10;77;0;12387;1.0;1.0;
WP5112;Familial hyperlipidemia type 5;15;77;0;12387;1.0;1.0;
WP5109;Familial hyperlipidemia type 2;16;77;0;12387;1.0;1.0;
WP5222;2q13 copy number variation syndrome;68;77;0;12387;1.0;1.0;
WP5221;2q11.2 copy number variation syndrome;65;77;0;12387;1.0;1.0;
WP5202;Alstrom syndrome;33;77;0;12387;1.0;1.0;
WP5200;Dravet syndrome;18;77;0;12387;1.0;1.0;
WP5195;Disorders in ketolysis;5;77;0;12387;1.0;1.0;
WP5193;Cholesterol synthesis disorders;18;77;0;12387;1.0;1.0;
WP5190;Creatine pathway;5;77;0;12387;1.0;1.0;
WP5189;Copper metabolism;4;77;0;12387;1.0;1.0;
WP5178;Disorders of fructose metabolism;14;77;0;12387;1.0;1.0;
WP5108;Familial  hyperlipidemia type 1;18;77;0;12387;1.0;1.0;
WP5176;Disorders of bile acid synthesis and biliary transport;20;77;0;12387;1.0;1.0;
WP5173;Disorders of galactose metabolism ;13;77;0;12387;1.0;1.0;
WP5171;Leukotriene metabolic pathway;13;77;0;12387;1.0;1.0;
WP5169;Hemesynthesis defects and porphyrias;9;77;0;12387;1.0;1.0;
WP5166;Glyoxylate metabolism;11;77;0;12387;1.0;1.0;
WP5124;Alzheimer's disease;262;77;1;12387;0.808187921914339;1.0;TUBA1C
WP5120;Inclusion body myositis;11;77;0;12387;1.0;1.0;
WP4879;Overlap between signal transduction pathways contributing to LMNA laminopathies;57;77;1;12387;0.2996936082053035;1.0;CDK4
WP5111;Familial hyperlipidemia type 4;22;77;0;12387;1.0;1.0;
WP5110;Familial hyperlipidemia type 3;13;77;0;12387;1.0;1.0;
WP5175;Disorders in ketone body synthesis;5;77;0;12387;1.0;1.0;
