WPID;WPTitle;WPSize;TargetSize;IntersectionSize;UniversSize;pValue;pAdjusted;Intersection
WP5102;Familial partial lipodystrophy (FPLD);30;88;4;12387;5.6594727160357116e-05;0.005772662170356426;KLF5 PPARA PPARG SREBF1
WP4746;Thyroid hormones production and peripheral downstream signaling effects;92;88;5;12387;0.0004883404566930149;0.024905363291343758;PPARG PPARGC1A RXRA THRA THRB
WP4312;Rett syndrome causing genes;48;88;3;12387;0.00475804714500966;0.12133020219774633;NCOR1 NCOR2 TBL1X
WP4545;Oxysterols derived from cholesterol;46;88;3;12387;0.00421872059852889;0.12133020219774633;ESR2 NR1H2 NR1I2
WP5053;Development of ureteric collection system;60;88;3;12387;0.008856557542353644;0.18067377386401434;RARA RARB RARG
WP4657;22q11.2 copy number variation syndrome;149;88;4;12387;0.021521523680274525;0.36586590256466694;NCOR1 SREBF1 SRF TXNRD2
WP4844;Influence of laminopathies on Wnt signaling;37;88;2;12387;0.028293367645190845;0.41227478568706655;PPARG SREBF1
WP4879;Overlap between signal transduction pathways contributing to LMNA laminopathies;57;88;2;12387;0.061930481739682415;0.7896136421809508;PPARG SREBF1
WP5101;Congenital generalized lipodystrophy (CGL);18;88;0;12387;1.0;1.0;
WP5087;Malignant pleural mesothelioma;436;88;1;12387;0.9577687807449599;1.0;PPARGC1A
WP5074;Kallmann syndrome;23;88;0;12387;1.0;1.0;
WP5052;Nephrogenesis;18;88;0;12387;1.0;1.0;
WP5037;Riboflavin and CoQ disorders;14;88;0;12387;1.0;1.0;
WP5031;Biotin metabolism, including IMDs;9;88;0;12387;1.0;1.0;
WP5030;Ethylmalonic encephalopathy;3;88;0;12387;1.0;1.0;
WP2059;Alzheimer's disease and miRNA effects;275;88;2;12387;0.5852014426198285;1.0;NRBF2 PSMC5
WP4949;16p11.2 proximal deletion syndrome;81;88;2;12387;0.11292894826148353;1.0;NR3C1 PPARG
WP4947;Nitric oxide metabolism in cystic fibrosis;13;88;0;12387;1.0;1.0;
WP4942;15q13.3 copy number variation syndrome;32;88;0;12387;1.0;1.0;
WP4940;15q11.2 copy number variation syndrome;10;88;0;12387;1.0;1.0;
WP4932;7q11.23 copy number variation syndrome;113;88;0;12387;1.0;1.0;
WP4906;3q29 copy number variation syndrome;75;88;1;12387;0.41510778107215407;1.0;CEP350
WP4905;1q21.1 copy number variation syndrome;36;88;0;12387;1.0;1.0;
WP4871;Kisspeptin/kisspeptin receptor system in the ovary;39;88;0;12387;1.0;1.0;
WP4971;Phosphoinositides metabolism;49;88;0;12387;1.0;1.0;
WP4950;16p11.2 distal deletion syndrome;33;88;0;12387;1.0;1.0;
WP5104;Acquired partial lipodystrophy / Barraquer-Simons syndrome;10;88;0;12387;1.0;1.0;
WP5108;Familial  hyperlipidemia type 1;18;88;0;12387;1.0;1.0;
WP5222;2q13 copy number variation syndrome;68;88;0;12387;1.0;1.0;
WP5221;2q11.2 copy number variation syndrome;65;88;1;12387;0.37163130413453194;1.0;MMS19
WP5202;Alstrom syndrome;33;88;0;12387;1.0;1.0;
WP5200;Dravet syndrome;18;88;0;12387;1.0;1.0;
WP5195;Disorders in ketolysis;5;88;0;12387;1.0;1.0;
WP5193;Cholesterol synthesis disorders;18;88;0;12387;1.0;1.0;
WP5190;Creatine pathway;5;88;0;12387;1.0;1.0;
WP5189;Copper metabolism;4;88;0;12387;1.0;1.0;
WP5178;Disorders of fructose metabolism;14;88;0;12387;1.0;1.0;
WP5176;Disorders of bile acid synthesis and biliary transport;20;88;0;12387;1.0;1.0;
WP5103;Progeria-associated lipodystrophy;22;88;1;12387;0.14528251163814365;1.0;PPARG
WP5175;Disorders in ketone body synthesis;5;88;0;12387;1.0;1.0;
WP5171;Leukotriene metabolic pathway;13;88;0;12387;1.0;1.0;
WP5169;Hemesynthesis defects and porphyrias;9;88;0;12387;1.0;1.0;
WP5166;Glyoxylate metabolism;11;88;0;12387;1.0;1.0;
WP5124;Alzheimer's disease;262;88;2;12387;0.5586956303007833;1.0;NRBF2 PSMC5
WP5120;Inclusion body myositis;11;88;0;12387;1.0;1.0;
WP5114;Nucleotide excision repair in xeroderma pigmentosum ;74;88;0;12387;1.0;1.0;
WP5112;Familial hyperlipidemia type 5;15;88;0;12387;1.0;1.0;
WP5111;Familial hyperlipidemia type 4;22;88;0;12387;1.0;1.0;
WP5110;Familial hyperlipidemia type 3;13;88;0;12387;1.0;1.0;
WP5109;Familial hyperlipidemia type 2;16;88;0;12387;1.0;1.0;
WP5173;Disorders of galactose metabolism ;13;88;0;12387;1.0;1.0;
WP4842;Mammalian disorder of sexual development;25;88;0;12387;1.0;1.0;
WP4814;Somatic sex determination;14;88;0;12387;1.0;1.0;
WP4823;Genes controlling nephrogenesis;44;88;0;12387;1.0;1.0;
WP4298;Acute viral myocarditis;85;88;1;12387;0.4556079744949271;1.0;CXADR
WP4297;Thiamine metabolic pathways;9;88;0;12387;1.0;1.0;
WP4292;Methionine metabolism leading to sulfur amino acids and related disorders;11;88;0;12387;1.0;1.0;
WP4288;MTHFR deficiency;24;88;0;12387;1.0;1.0;
