WPID;WPTitle;WPSize;TargetSize;IntersectionSize;UniversSize;pValue;pAdjusted;Intersection
WP2059;Alzheimer's disease and miRNA effects;275;29;0;12387;1.0;1.0;
WP5101;Congenital generalized lipodystrophy (CGL);18;29;0;12387;1.0;1.0;
WP5087;Malignant pleural mesothelioma;436;29;3;12387;0.08059367936366048;1.0;FOXO1 MAD2L1 MST1
WP5074;Kallmann syndrome;23;29;0;12387;1.0;1.0;
WP5053;Development of ureteric collection system;60;29;0;12387;1.0;1.0;
WP5052;Nephrogenesis;18;29;0;12387;1.0;1.0;
WP5037;Riboflavin and CoQ disorders;14;29;0;12387;1.0;1.0;
WP5031;Biotin metabolism, including IMDs;9;29;0;12387;1.0;1.0;
WP5030;Ethylmalonic encephalopathy;3;29;0;12387;1.0;1.0;
WP4971;Phosphoinositides metabolism;49;29;0;12387;1.0;1.0;
WP4950;16p11.2 distal deletion syndrome;33;29;0;12387;1.0;1.0;
WP4949;16p11.2 proximal deletion syndrome;81;29;0;12387;1.0;1.0;
WP4947;Nitric oxide metabolism in cystic fibrosis;13;29;0;12387;1.0;1.0;
WP4942;15q13.3 copy number variation syndrome;32;29;0;12387;1.0;1.0;
WP4940;15q11.2 copy number variation syndrome;10;29;0;12387;1.0;1.0;
WP4932;7q11.23 copy number variation syndrome;113;29;0;12387;1.0;1.0;
WP4906;3q29 copy number variation syndrome;75;29;1;12387;0.16165117019609676;1.0;MAD2L1BP
WP4905;1q21.1 copy number variation syndrome;36;29;0;12387;1.0;1.0;
WP4879;Overlap between signal transduction pathways contributing to LMNA laminopathies;57;29;0;12387;1.0;1.0;
WP4871;Kisspeptin/kisspeptin receptor system in the ovary;39;29;0;12387;1.0;1.0;
WP4844;Influence of laminopathies on Wnt signaling;37;29;0;12387;1.0;1.0;
WP4842;Mammalian disorder of sexual development;25;29;0;12387;1.0;1.0;
WP5102;Familial partial lipodystrophy (FPLD);30;29;0;12387;1.0;1.0;
WP5103;Progeria-associated lipodystrophy;22;29;0;12387;1.0;1.0;
WP5104;Acquired partial lipodystrophy / Barraquer-Simons syndrome;10;29;0;12387;1.0;1.0;
WP5108;Familial  hyperlipidemia type 1;18;29;0;12387;1.0;1.0;
WP5222;2q13 copy number variation syndrome;68;29;0;12387;1.0;1.0;
WP5221;2q11.2 copy number variation syndrome;65;29;0;12387;1.0;1.0;
WP5202;Alstrom syndrome;33;29;0;12387;1.0;1.0;
WP5200;Dravet syndrome;18;29;0;12387;1.0;1.0;
WP5195;Disorders in ketolysis;5;29;0;12387;1.0;1.0;
WP5193;Cholesterol synthesis disorders;18;29;0;12387;1.0;1.0;
WP5190;Creatine pathway;5;29;0;12387;1.0;1.0;
WP5189;Copper metabolism;4;29;0;12387;1.0;1.0;
WP5178;Disorders of fructose metabolism;14;29;0;12387;1.0;1.0;
WP5176;Disorders of bile acid synthesis and biliary transport;20;29;0;12387;1.0;1.0;
WP4830;GDNF/RET signaling axis;23;29;0;12387;1.0;1.0;
WP5175;Disorders in ketone body synthesis;5;29;0;12387;1.0;1.0;
WP5171;Leukotriene metabolic pathway;13;29;0;12387;1.0;1.0;
WP5169;Hemesynthesis defects and porphyrias;9;29;0;12387;1.0;1.0;
WP5166;Glyoxylate metabolism;11;29;0;12387;1.0;1.0;
WP5124;Alzheimer's disease;262;29;0;12387;1.0;1.0;
WP5120;Inclusion body myositis;11;29;0;12387;1.0;1.0;
WP5114;Nucleotide excision repair in xeroderma pigmentosum ;74;29;0;12387;1.0;1.0;
WP5112;Familial hyperlipidemia type 5;15;29;0;12387;1.0;1.0;
WP5111;Familial hyperlipidemia type 4;22;29;0;12387;1.0;1.0;
WP5110;Familial hyperlipidemia type 3;13;29;0;12387;1.0;1.0;
WP5109;Familial hyperlipidemia type 2;16;29;0;12387;1.0;1.0;
WP5173;Disorders of galactose metabolism ;13;29;0;12387;1.0;1.0;
WP4823;Genes controlling nephrogenesis;44;29;0;12387;1.0;1.0;
WP4814;Somatic sex determination;14;29;0;12387;1.0;1.0;
WP4804;Cholesterol biosynthesis with skeletal dysplasias;7;29;0;12387;1.0;1.0;
WP4299;Lamin A-processing pathway;3;29;0;12387;1.0;1.0;
WP4298;Acute viral myocarditis;85;29;0;12387;1.0;1.0;
