WPID;WPTitle;WPSize;TargetSize;IntersectionSize;UniversSize;pValue;pAdjusted;Intersection
WP5087;Malignant pleural mesothelioma;436;71;12;12387;6.044676973742203e-06;0.0006165570513217047;CCL2 COL4A1 CXCL12 CXCL5 FN1 ITGA1 ITGA2 ITGA3 ITGB1 LAMA1 LAMA3 MMP9
WP4541;Hippo-Merlin signaling dysregulation;120;71;5;12387;0.0006135577073556451;0.031291443075137905;ITGA1 ITGA2 ITGA3 ITGB1 ITGB6
WP4823;Genes controlling nephrogenesis;44;71;3;12387;0.002019612854208949;0.06866683704310426;CXCL12 ITGA3 ITGB1
WP4932;7q11.23 copy number variation syndrome;113;71;3;12387;0.02698618276669536;0.6881476605507317;ELN FBLN2 FBN1
WP5101;Congenital generalized lipodystrophy (CGL);18;71;0;12387;1.0;1.0;
WP5074;Kallmann syndrome;23;71;0;12387;1.0;1.0;
WP5053;Development of ureteric collection system;60;71;1;12387;0.2922927336404935;1.0;ITGB1
WP5052;Nephrogenesis;18;71;0;12387;1.0;1.0;
WP5037;Riboflavin and CoQ disorders;14;71;0;12387;1.0;1.0;
WP5031;Biotin metabolism, including IMDs;9;71;0;12387;1.0;1.0;
WP5030;Ethylmalonic encephalopathy;3;71;0;12387;1.0;1.0;
WP4971;Phosphoinositides metabolism;49;71;0;12387;1.0;1.0;
WP4950;16p11.2 distal deletion syndrome;33;71;0;12387;1.0;1.0;
WP4949;16p11.2 proximal deletion syndrome;81;71;0;12387;1.0;1.0;
WP4947;Nitric oxide metabolism in cystic fibrosis;13;71;0;12387;1.0;1.0;
WP4942;15q13.3 copy number variation syndrome;32;71;0;12387;1.0;1.0;
WP4940;15q11.2 copy number variation syndrome;10;71;0;12387;1.0;1.0;
WP4906;3q29 copy number variation syndrome;75;71;1;12387;0.35106297676282344;1.0;ADAM10
WP4905;1q21.1 copy number variation syndrome;36;71;0;12387;1.0;1.0;
WP4879;Overlap between signal transduction pathways contributing to LMNA laminopathies;57;71;0;12387;1.0;1.0;
WP4871;Kisspeptin/kisspeptin receptor system in the ovary;39;71;1;12387;0.20110798420164258;1.0;MMP9
WP4844;Influence of laminopathies on Wnt signaling;37;71;0;12387;1.0;1.0;
WP4842;Mammalian disorder of sexual development;25;71;0;12387;1.0;1.0;
WP5102;Familial partial lipodystrophy (FPLD);30;71;0;12387;1.0;1.0;
WP4830;GDNF/RET signaling axis;23;71;0;12387;1.0;1.0;
WP2059;Alzheimer's disease and miRNA effects;275;71;2;12387;0.4699957556903428;1.0;ADAM10 PSENEN
WP5108;Familial  hyperlipidemia type 1;18;71;0;12387;1.0;1.0;
WP5222;2q13 copy number variation syndrome;68;71;0;12387;1.0;1.0;
WP5221;2q11.2 copy number variation syndrome;65;71;1;12387;0.31244349579289615;1.0;COL2A1
WP5202;Alstrom syndrome;33;71;0;12387;1.0;1.0;
WP5200;Dravet syndrome;18;71;0;12387;1.0;1.0;
WP5195;Disorders in ketolysis;5;71;0;12387;1.0;1.0;
WP5193;Cholesterol synthesis disorders;18;71;0;12387;1.0;1.0;
WP5190;Creatine pathway;5;71;0;12387;1.0;1.0;
WP5189;Copper metabolism;4;71;0;12387;1.0;1.0;
WP5178;Disorders of fructose metabolism;14;71;0;12387;1.0;1.0;
WP5176;Disorders of bile acid synthesis and biliary transport;20;71;0;12387;1.0;1.0;
WP5104;Acquired partial lipodystrophy / Barraquer-Simons syndrome;10;71;0;12387;1.0;1.0;
WP5175;Disorders in ketone body synthesis;5;71;0;12387;1.0;1.0;
WP5171;Leukotriene metabolic pathway;13;71;0;12387;1.0;1.0;
WP5169;Hemesynthesis defects and porphyrias;9;71;0;12387;1.0;1.0;
WP5166;Glyoxylate metabolism;11;71;0;12387;1.0;1.0;
WP5124;Alzheimer's disease;262;71;2;12387;0.4450155070895639;1.0;ADAM10 PSENEN
WP5120;Inclusion body myositis;11;71;1;12387;0.06129777739828547;1.0;PSENEN
WP5114;Nucleotide excision repair in xeroderma pigmentosum ;74;71;0;12387;1.0;1.0;
WP5112;Familial hyperlipidemia type 5;15;71;0;12387;1.0;1.0;
WP5111;Familial hyperlipidemia type 4;22;71;0;12387;1.0;1.0;
WP5110;Familial hyperlipidemia type 3;13;71;0;12387;1.0;1.0;
WP5109;Familial hyperlipidemia type 2;16;71;0;12387;1.0;1.0;
WP5173;Disorders of galactose metabolism ;13;71;0;12387;1.0;1.0;
WP5103;Progeria-associated lipodystrophy;22;71;1;12387;0.11888784115402655;1.0;FBN1
WP4814;Somatic sex determination;14;71;0;12387;1.0;1.0;
WP4804;Cholesterol biosynthesis with skeletal dysplasias;7;71;0;12387;1.0;1.0;
WP4298;Acute viral myocarditis;85;71;2;12387;0.08536880797517497;1.0;CCR3 MMP9
WP4297;Thiamine metabolic pathways;9;71;0;12387;1.0;1.0;
WP4292;Methionine metabolism leading to sulfur amino acids and related disorders;11;71;0;12387;1.0;1.0;
WP4288;MTHFR deficiency;24;71;0;12387;1.0;1.0;
WP4271;Vitamin B12 disorders;13;71;0;12387;1.0;1.0;
WP4259;Disorders of folate metabolism and transport;13;71;0;12387;1.0;1.0;
WP4236;Krebs cycle disorders;7;71;0;12387;1.0;1.0;
WP4228;Vitamin B6-dependent and responsive disorders;4;71;0;12387;1.0;1.0;
WP4225;Pyrimidine metabolism and related diseases;17;71;0;12387;1.0;1.0;
WP4224;Purine metabolism and related disorders;22;71;0;12387;1.0;1.0;
WP4220;Neurotransmitter disorders;4;71;0;12387;1.0;1.0;
WP4157;GABA metabolism (aka GHB);6;71;0;12387;1.0;1.0;
WP4156;Biosynthesis and regeneration of tetrahydrobiopterin and catabolism of phenylalanine;2;71;0;12387;1.0;1.0;
WP4153;Degradation pathway of sphingolipids, including diseases;10;71;0;12387;1.0;1.0;
WP3998;Prader-Willi and Angelman syndrome;66;71;0;12387;1.0;1.0;
WP3995;Prion disease pathway;33;71;1;12387;0.17299144777703537;1.0;PDIA3
WP3853;ERK pathway in Huntington's disease;15;71;0;12387;1.0;1.0;
WP3584;MECP2 and associated Rett syndrome;73;71;0;12387;1.0;1.0;
WP3569;Fanconi Anemia Pathway;39;71;0;12387;1.0;1.0;
WP2447;Amyotrophic lateral sclerosis (ALS);38;71;0;12387;1.0;1.0;
WP2371;Parkinson's disease pathway;47;71;0;12387;1.0;1.0;
WP4299;Lamin A-processing pathway;3;71;0;12387;1.0;1.0;
WP4312;Rett syndrome causing genes;48;71;0;12387;1.0;1.0;
WP4320;Effect of progerin on genes involved in Hutchinson-Gilford progeria syndrome;37;71;0;12387;1.0;1.0;
WP4504;Cysteine and methionine catabolism;15;71;0;12387;1.0;1.0;
WP4803;Ciliopathies;184;71;0;12387;1.0;1.0;
WP4792;Purine metabolism;13;71;0;12387;1.0;1.0;
WP4746;Thyroid hormones production and peripheral downstream signaling effects;92;71;0;12387;1.0;1.0;
WP4688;Serine metabolism;8;71;0;12387;1.0;1.0;
WP4686;Leucine, isoleucine and valine metabolism;24;71;0;12387;1.0;1.0;
WP4673;Male infertility;145;71;2;12387;0.20187649772918376;1.0;MMP9 THBS1
WP4657;22q11.2 copy number variation syndrome;149;71;0;12387;1.0;1.0;
WP4656;Joubert syndrome;76;71;1;12387;0.3548052224202946;1.0;FLNA
WP4595;Urea cycle and associated pathways;24;71;0;12387;1.0;1.0;
WP4577;Neurodegeneration with brain iron accumulation (NBIA) subtypes pathway;44;71;0;12387;1.0;1.0;
WP5223;2q21.1 copy number variation syndrome;42;71;0;12387;1.0;1.0;
WP4549;Fragile X syndrome;112;71;1;12387;0.4762394405391695;1.0;MMP9
WP4540;Hippo signaling regulation pathways;98;71;0;12387;1.0;1.0;
WP4535;Envelope proteins and their potential roles in EDMD physiopathology;46;71;1;12387;0.2327211040078755;1.0;TGFB3
WP4524;Alternative pathway of fetal androgen synthesis;11;71;0;12387;1.0;1.0;
WP4523;Classical pathway of steroidogenesis with glucocorticoid and mineralocorticoid metabolism;16;71;0;12387;1.0;1.0;
WP4522;Metabolic pathway of LDL, HDL and TG, including diseases;17;71;0;12387;1.0;1.0;
WP4521;Glycosylation and related congenital defects;25;71;0;12387;1.0;1.0;
