WPID;WPTitle;WPSize;TargetSize;IntersectionSize;UniversSize;pValue;pAdjusted;Intersection
WP4298;Acute viral myocarditis;85;12;5;12387;1.030177727906167e-08;1.0507812824642903e-06;CASP1 CASP3 CASP8 CASP9 TNF
WP2447;Amyotrophic lateral sclerosis (ALS);38;12;4;12387;3.661571601482658e-08;1.8674015167561557e-06;CASP1 CASP3 CASP9 TNF
WP2059;Alzheimer's disease and miRNA effects;275;12;4;12387;0.00010222242318507247;0.002606671791219348;CASP3 CASP8 CASP9 TNF
WP5124;Alzheimer's disease;262;12;4;12387;8.470327265310996e-05;0.002606671791219348;CASP3 CASP8 CASP9 TNF
WP4288;MTHFR deficiency;24;12;2;12387;0.0002346614502719376;0.004787093585547527;CASP3 CASP9
WP2371;Parkinson's disease pathway;47;12;2;12387;0.0009077815707996327;0.015432286703593756;CASP3 CASP9
WP3853;ERK pathway in Huntington's disease;15;12;1;12387;0.014441341840599527;0.21043098110587882;CASP3
WP3995;Prion disease pathway;33;12;1;12387;0.03151850288765305;0.40186091181757644;CASP3
WP4949;16p11.2 proximal deletion syndrome;81;12;1;12387;0.07574025695654368;0.8583895788408283;CASP8
WP4746;Thyroid hormones production and peripheral downstream signaling effects;92;12;1;12387;0.08561010066975347;0.8732230268314854;CASP9
WP5087;Malignant pleural mesothelioma;436;12;1;12387;0.34961153139816586;1.0;CASP1
WP5037;Riboflavin and CoQ disorders;14;12;0;12387;1.0;1.0;
WP5053;Development of ureteric collection system;60;12;0;12387;1.0;1.0;
WP5102;Familial partial lipodystrophy (FPLD);30;12;0;12387;1.0;1.0;
WP5052;Nephrogenesis;18;12;0;12387;1.0;1.0;
WP5101;Congenital generalized lipodystrophy (CGL);18;12;0;12387;1.0;1.0;
WP5074;Kallmann syndrome;23;12;0;12387;1.0;1.0;
WP4950;16p11.2 distal deletion syndrome;33;12;0;12387;1.0;1.0;
WP5030;Ethylmalonic encephalopathy;3;12;0;12387;1.0;1.0;
WP4971;Phosphoinositides metabolism;49;12;0;12387;1.0;1.0;
WP5103;Progeria-associated lipodystrophy;22;12;0;12387;1.0;1.0;
WP4947;Nitric oxide metabolism in cystic fibrosis;13;12;0;12387;1.0;1.0;
WP4942;15q13.3 copy number variation syndrome;32;12;0;12387;1.0;1.0;
WP4940;15q11.2 copy number variation syndrome;10;12;0;12387;1.0;1.0;
WP4932;7q11.23 copy number variation syndrome;113;12;0;12387;1.0;1.0;
WP4906;3q29 copy number variation syndrome;75;12;0;12387;1.0;1.0;
WP4905;1q21.1 copy number variation syndrome;36;12;0;12387;1.0;1.0;
WP4879;Overlap between signal transduction pathways contributing to LMNA laminopathies;57;12;0;12387;1.0;1.0;
WP5031;Biotin metabolism, including IMDs;9;12;0;12387;1.0;1.0;
WP5104;Acquired partial lipodystrophy / Barraquer-Simons syndrome;10;12;0;12387;1.0;1.0;
WP5111;Familial hyperlipidemia type 4;22;12;0;12387;1.0;1.0;
WP5109;Familial hyperlipidemia type 2;16;12;0;12387;1.0;1.0;
WP5222;2q13 copy number variation syndrome;68;12;0;12387;1.0;1.0;
WP5221;2q11.2 copy number variation syndrome;65;12;0;12387;1.0;1.0;
WP5202;Alstrom syndrome;33;12;0;12387;1.0;1.0;
WP5200;Dravet syndrome;18;12;0;12387;1.0;1.0;
WP5195;Disorders in ketolysis;5;12;0;12387;1.0;1.0;
WP5193;Cholesterol synthesis disorders;18;12;0;12387;1.0;1.0;
WP5190;Creatine pathway;5;12;0;12387;1.0;1.0;
WP5189;Copper metabolism;4;12;0;12387;1.0;1.0;
WP5178;Disorders of fructose metabolism;14;12;0;12387;1.0;1.0;
WP5108;Familial  hyperlipidemia type 1;18;12;0;12387;1.0;1.0;
WP5176;Disorders of bile acid synthesis and biliary transport;20;12;0;12387;1.0;1.0;
WP5173;Disorders of galactose metabolism ;13;12;0;12387;1.0;1.0;
WP5171;Leukotriene metabolic pathway;13;12;0;12387;1.0;1.0;
WP5169;Hemesynthesis defects and porphyrias;9;12;0;12387;1.0;1.0;
WP5166;Glyoxylate metabolism;11;12;0;12387;1.0;1.0;
WP5120;Inclusion body myositis;11;12;0;12387;1.0;1.0;
WP5114;Nucleotide excision repair in xeroderma pigmentosum ;74;12;0;12387;1.0;1.0;
WP5112;Familial hyperlipidemia type 5;15;12;0;12387;1.0;1.0;
WP4871;Kisspeptin/kisspeptin receptor system in the ovary;39;12;0;12387;1.0;1.0;
WP5110;Familial hyperlipidemia type 3;13;12;0;12387;1.0;1.0;
WP5175;Disorders in ketone body synthesis;5;12;0;12387;1.0;1.0;
WP4844;Influence of laminopathies on Wnt signaling;37;12;0;12387;1.0;1.0;
WP4814;Somatic sex determination;14;12;0;12387;1.0;1.0;
WP4830;GDNF/RET signaling axis;23;12;0;12387;1.0;1.0;
WP4506;Tyrosine metabolism;4;12;0;12387;1.0;1.0;
WP4504;Cysteine and methionine catabolism;15;12;0;12387;1.0;1.0;
WP4320;Effect of progerin on genes involved in Hutchinson-Gilford progeria syndrome;37;12;0;12387;1.0;1.0;
WP4312;Rett syndrome causing genes;48;12;0;12387;1.0;1.0;
WP4299;Lamin A-processing pathway;3;12;0;12387;1.0;1.0;
WP4297;Thiamine metabolic pathways;9;12;0;12387;1.0;1.0;
WP4292;Methionine metabolism leading to sulfur amino acids and related disorders;11;12;0;12387;1.0;1.0;
WP4271;Vitamin B12 disorders;13;12;0;12387;1.0;1.0;
WP4259;Disorders of folate metabolism and transport;13;12;0;12387;1.0;1.0;
WP4507;Molybdenum cofactor (Moco) biosynthesis;7;12;0;12387;1.0;1.0;
WP4236;Krebs cycle disorders;7;12;0;12387;1.0;1.0;
WP4225;Pyrimidine metabolism and related diseases;17;12;0;12387;1.0;1.0;
WP4224;Purine metabolism and related disorders;22;12;0;12387;1.0;1.0;
WP4220;Neurotransmitter disorders;4;12;0;12387;1.0;1.0;
WP4157;GABA metabolism (aka GHB);6;12;0;12387;1.0;1.0;
WP4156;Biosynthesis and regeneration of tetrahydrobiopterin and catabolism of phenylalanine;2;12;0;12387;1.0;1.0;
WP4153;Degradation pathway of sphingolipids, including diseases;10;12;0;12387;1.0;1.0;
WP3998;Prader-Willi and Angelman syndrome;66;12;0;12387;1.0;1.0;
WP3584;MECP2 and associated Rett syndrome;73;12;0;12387;1.0;1.0;
WP3569;Fanconi Anemia Pathway;39;12;0;12387;1.0;1.0;
WP4228;Vitamin B6-dependent and responsive disorders;4;12;0;12387;1.0;1.0;
WP4842;Mammalian disorder of sexual development;25;12;0;12387;1.0;1.0;
