WPID;WPTitle;WPSize;TargetSize;IntersectionSize;UniversSize;pValue;pAdjusted;Intersection
WP4312;Rett syndrome causing genes;48;46;3;12387;0.0007374635309705236;0.0752212801589934;NCOR1 NCOR2 TBL1X
WP4545;Oxysterols derived from cholesterol;46;46;2;12387;0.012587355551416187;0.6419551331222255;ESR2 NR1I2
WP5102;Familial partial lipodystrophy (FPLD);30;46;1;12387;0.1057282677115803;1.0;PPARA
WP5101;Congenital generalized lipodystrophy (CGL);18;46;0;12387;1.0;1.0;
WP5087;Malignant pleural mesothelioma;436;46;1;12387;0.8082100532206551;1.0;PPARGC1A
WP5074;Kallmann syndrome;23;46;0;12387;1.0;1.0;
WP5053;Development of ureteric collection system;60;46;0;12387;1.0;1.0;
WP5052;Nephrogenesis;18;46;0;12387;1.0;1.0;
WP5037;Riboflavin and CoQ disorders;14;46;0;12387;1.0;1.0;
WP5031;Biotin metabolism, including IMDs;9;46;0;12387;1.0;1.0;
WP5030;Ethylmalonic encephalopathy;3;46;0;12387;1.0;1.0;
WP4971;Phosphoinositides metabolism;49;46;0;12387;1.0;1.0;
WP2059;Alzheimer's disease and miRNA effects;275;46;1;12387;0.6446458579205183;1.0;NRBF2
WP4949;16p11.2 proximal deletion syndrome;81;46;0;12387;1.0;1.0;
WP4947;Nitric oxide metabolism in cystic fibrosis;13;46;0;12387;1.0;1.0;
WP4942;15q13.3 copy number variation syndrome;32;46;0;12387;1.0;1.0;
WP4940;15q11.2 copy number variation syndrome;10;46;0;12387;1.0;1.0;
WP4932;7q11.23 copy number variation syndrome;113;46;0;12387;1.0;1.0;
WP4906;3q29 copy number variation syndrome;75;46;1;12387;0.24412150492075965;1.0;CEP350
WP4905;1q21.1 copy number variation syndrome;36;46;0;12387;1.0;1.0;
WP4879;Overlap between signal transduction pathways contributing to LMNA laminopathies;57;46;0;12387;1.0;1.0;
WP4871;Kisspeptin/kisspeptin receptor system in the ovary;39;46;0;12387;1.0;1.0;
WP4844;Influence of laminopathies on Wnt signaling;37;46;0;12387;1.0;1.0;
WP4950;16p11.2 distal deletion syndrome;33;46;0;12387;1.0;1.0;
WP5103;Progeria-associated lipodystrophy;22;46;0;12387;1.0;1.0;
WP5104;Acquired partial lipodystrophy / Barraquer-Simons syndrome;10;46;0;12387;1.0;1.0;
WP5108;Familial  hyperlipidemia type 1;18;46;0;12387;1.0;1.0;
WP5222;2q13 copy number variation syndrome;68;46;0;12387;1.0;1.0;
WP5221;2q11.2 copy number variation syndrome;65;46;1;12387;0.2153044623086843;1.0;MMS19
WP5202;Alstrom syndrome;33;46;0;12387;1.0;1.0;
WP5200;Dravet syndrome;18;46;0;12387;1.0;1.0;
WP5195;Disorders in ketolysis;5;46;0;12387;1.0;1.0;
WP5193;Cholesterol synthesis disorders;18;46;0;12387;1.0;1.0;
WP5190;Creatine pathway;5;46;0;12387;1.0;1.0;
WP5189;Copper metabolism;4;46;0;12387;1.0;1.0;
WP5178;Disorders of fructose metabolism;14;46;0;12387;1.0;1.0;
WP5176;Disorders of bile acid synthesis and biliary transport;20;46;0;12387;1.0;1.0;
WP4842;Mammalian disorder of sexual development;25;46;0;12387;1.0;1.0;
WP5175;Disorders in ketone body synthesis;5;46;0;12387;1.0;1.0;
WP5171;Leukotriene metabolic pathway;13;46;0;12387;1.0;1.0;
WP5169;Hemesynthesis defects and porphyrias;9;46;0;12387;1.0;1.0;
WP5166;Glyoxylate metabolism;11;46;0;12387;1.0;1.0;
WP5124;Alzheimer's disease;262;46;1;12387;0.6266363899921207;1.0;NRBF2
WP5120;Inclusion body myositis;11;46;0;12387;1.0;1.0;
WP5114;Nucleotide excision repair in xeroderma pigmentosum ;74;46;0;12387;1.0;1.0;
WP5112;Familial hyperlipidemia type 5;15;46;0;12387;1.0;1.0;
WP5111;Familial hyperlipidemia type 4;22;46;0;12387;1.0;1.0;
WP5110;Familial hyperlipidemia type 3;13;46;0;12387;1.0;1.0;
WP5109;Familial hyperlipidemia type 2;16;46;0;12387;1.0;1.0;
WP5173;Disorders of galactose metabolism ;13;46;0;12387;1.0;1.0;
WP4830;GDNF/RET signaling axis;23;46;0;12387;1.0;1.0;
WP4814;Somatic sex determination;14;46;0;12387;1.0;1.0;
WP5223;2q21.1 copy number variation syndrome;42;46;0;12387;1.0;1.0;
WP4298;Acute viral myocarditis;85;46;1;12387;0.27190245094021603;1.0;CXADR
WP4297;Thiamine metabolic pathways;9;46;0;12387;1.0;1.0;
WP4292;Methionine metabolism leading to sulfur amino acids and related disorders;11;46;0;12387;1.0;1.0;
WP4288;MTHFR deficiency;24;46;0;12387;1.0;1.0;
WP4271;Vitamin B12 disorders;13;46;0;12387;1.0;1.0;
WP4259;Disorders of folate metabolism and transport;13;46;0;12387;1.0;1.0;
WP4236;Krebs cycle disorders;7;46;0;12387;1.0;1.0;
WP4228;Vitamin B6-dependent and responsive disorders;4;46;0;12387;1.0;1.0;
WP4225;Pyrimidine metabolism and related diseases;17;46;0;12387;1.0;1.0;
WP4224;Purine metabolism and related disorders;22;46;0;12387;1.0;1.0;
WP4220;Neurotransmitter disorders;4;46;0;12387;1.0;1.0;
WP4157;GABA metabolism (aka GHB);6;46;0;12387;1.0;1.0;
WP4156;Biosynthesis and regeneration of tetrahydrobiopterin and catabolism of phenylalanine;2;46;0;12387;1.0;1.0;
WP4153;Degradation pathway of sphingolipids, including diseases;10;46;0;12387;1.0;1.0;
