WPID;WPTitle;Source;WPSize;TargetSize;IntersectionSize;UniversSize;pValue;pAdjusted;Intersection
PMC5748921-PMC6115658;CAKUT causal genes;hsapiens.GO-BP.name.gmt;42;20;0;18089;1.0;1.0;
GO:0072001;renal system development;hsapiens.GO-BP.name.gmt;315;20;1;18089;0.29639091478139995;1.0;APAF1
GO:0001822;kidney development;hsapiens.GO-BP.name.gmt;306;20;1;18089;0.2892271293452212;1.0;APAF1
GO:0060993;kidney morphogenesis;hsapiens.GO-BP.name.gmt;96;20;0;18089;1.0;1.0;
REAC:R-HSA-2022377;Metabolism of Angiotensinogen to Angiotensins;hsapiens.REAC.name.gmt;18;16;0;10531;1.0;1.0;
REAC:R-HSA-8853659;RET signaling;hsapiens.REAC.name.gmt;38;16;0;10531;1.0;1.0;
REAC:R-HSA-195721;Signaling by WNT;hsapiens.REAC.name.gmt;328;16;1;10531;0.3974776882593261;1.0;TERT
REAC:R-HSA-157118;Signaling by NOTCH;hsapiens.REAC.name.gmt;233;16;0;10531;1.0;1.0;
REAC:R-HSA-5358351;Signaling by Hedgehog;hsapiens.REAC.name.gmt;149;16;0;10531;1.0;1.0;
WP:WP5053;Development of ureteric collection system;hsapiens.WP.name.gmt;47;14;0;7411;1.0;1.0;
WP:WP4823;Genes controlling nephrogenesis;hsapiens.WP.name.gmt;43;14;0;7411;1.0;1.0;
WP:WP5052;Nephrogenesis;hsapiens.WP.name.gmt;17;14;0;7411;1.0;1.0;
WP:WP4830;GDNF/RET signalling axis;hsapiens.WP.name.gmt;23;14;0;7411;1.0;1.0;
