WPID;WPTitle;Source;WPSize;TargetSize;IntersectionSize;UniversSize;pValue;pAdjusted;Intersection
WP:WP5053;Development of ureteric collection system;hsapiens.WP.name.gmt;47;12;3;7411;5.053579730650191e-05;0.0006569653649845248;ANOS1 FGFR2 WT1
GO:0060993;kidney morphogenesis;hsapiens.GO-BP.name.gmt;96;19;3;18089;0.00013196787182966817;0.0008577911668928431;FGF10 TGFB1 WT1
GO:0072001;renal system development;hsapiens.GO-BP.name.gmt;315;19;4;18089;0.00028438827361493903;0.0009242618892485518;FGF10 FGFR2 TGFB1 WT1
GO:0001822;kidney development;hsapiens.GO-BP.name.gmt;306;19;4;18089;0.00025463508933281547;0.0009242618892485518;FGF10 FGFR2 TGFB1 WT1
WP:WP4823;Genes controlling nephrogenesis;hsapiens.WP.name.gmt;43;12;2;7411;0.0020919018246727266;0.005438944744149089;FGFR2 WT1
PMC5748921-PMC6115658;CAKUT causal genes;hsapiens.GO-BP.name.gmt;42;19;1;18089;0.04322642785930778;0.09365726036183353;ANOS1
REAC:R-HSA-2022377;Metabolism of Angiotensinogen to Angiotensins;hsapiens.REAC.name.gmt;18;11;0;10531;1.0;1.0;
REAC:R-HSA-8853659;RET signaling;hsapiens.REAC.name.gmt;38;11;0;10531;1.0;1.0;
REAC:R-HSA-195721;Signaling by WNT;hsapiens.REAC.name.gmt;328;11;0;10531;1.0;1.0;
REAC:R-HSA-157118;Signaling by NOTCH;hsapiens.REAC.name.gmt;233;11;0;10531;1.0;1.0;
REAC:R-HSA-5358351;Signaling by Hedgehog;hsapiens.REAC.name.gmt;149;11;0;10531;1.0;1.0;
WP:WP5052;Nephrogenesis;hsapiens.WP.name.gmt;17;12;0;7411;1.0;1.0;
WP:WP4830;GDNF/RET signalling axis;hsapiens.WP.name.gmt;23;12;0;7411;1.0;1.0;
